key,label,europepmc_papers,biostudies_datasets
ketogenic,Ketogenic diet,78,1096
high_fat,High fat diet,648,1170
caloric_restrict,Caloric restriction,100,1214
intermit_fasting,Intermittent fasting,41,1220
fasting,Fasting,486,1270
choline_def,Choline deficiency,14,1310
vit_d_def,Vitamin D deficiency,35,1440
zinc_def,Zinc deficiency,22,2789
iron_def,Iron deficiency,66,4063
folate_def,Folate deficiency,37,1105
b12_def,Vitamin B12 deficiency,5,1089
magnesium_def,Magnesium deficiency,4,1617
selenium_def,Selenium deficiency,5,1686
fructose,Fructose,112,1306
sucrose,Sucrose / high sugar,434,1263
omega3,Omega-3 / DHA,338,1102
western_diet,Western diet,48,1195
mediterranean,Mediterranean diet,31,1120
protein_restrict,Protein restriction,29,1237
methionine_restr,Methionine restriction,11,1239
high_salt,High salt / sodium,43,1841
resveratrol,Resveratrol,159,1229
curcumin,Curcumin,170,1227
